time,distance,angle1,pos1x,pos1y,angle2,pos2x,pos2y
1024.758,310.0759925,6.750091649,108.7568468,-121.2365264,-37.59936708,-143.3964677,80.27919458
1024.805,335.0938772,150.5346634,115.2635833,-132.7533958,166.3067557,-140.2359855,67.30772903
1024.85,311.5640887,-63.95881381,103.3631743,-126.9385855,33.74266705,-132.9507216,78.21391836
1024.897,319.5160623,69.98176718,115.6993504,-122.4441383,-106.7733952,-145.5844757,74.40596333
1024.943,327.1464196,-141.8803409,107.5068506,-132.8850408,105.0801852,-132.7700454,70.95311853
1024.99,305.7524808,-5.78831948,106.1805346,-119.8011734,-21.67229568,-137.592156,83.08762319
1025.038,330.3162373,132.3693518,115.9119053,-128.6775948,-172.988533,-139.2160462,69.88394531
1025.083,312.05124,-83.33982427,102.7682993,-127.1428369,53.960227,-128.6066847,77.60335556
1025.13,310.3989708,46.61872727,112.2817997,-118.1522552,-77.43874381,-141.397018,80.45325409
1025.176,328.6427445,-170.2057137,110.0326305,-131.181302,132.9185117,-131.6670626,71.40576152
1025.223,302.7639053,-33.83250624,102.7090669,-120.2549081,9.154606436,-129.5943774,84.26746264
1025.271,320.3609379,96.67402095,115.7153928,-121.7768219,-132.2063315,-139.3746918,75.39724554
1025.316,317.6105422,-119.915427,104.253234,-128.3719628,89.18312638,-126.1999255,75.58509268
1025.363,300.8855629,8.829823526,106.2606257,-115.4494962,-32.70243657,-133.2282993,86.53188607
1025.409,326.1020985,143.1211001,114.142024,-125.9545882,180.195465,-133.2735393,73.27094226
1025.455,305.9810313,-78.22299648,101.2428396,-123.265211,53.21443368,-122.8141691,81.0914422
1025.5,304.3652204,46.0313272,110.6226152,-114.2171729,-72.15078669,-135.2299842,85.08949128
1025.548,324.3147232,-176.4775244,109.813762,-127.3572129,142.5344901,-127.174393,74.57814509
1025.594,298.3021065,-44.12358685,100.6840062,-117.943793,23.23238362,-122.0530931,86.50840591
1025.64,310.2990006,79.22144294,113.4776878,-115.5082297,-108.066617,-134.5100609,82.44487304
1025.687,317.8254905,-142.4721525,105.453356,-125.9552252,113.1078925,-122.3891311,77.27288479
1025.733,294.3343125,-16.16269704,101.8198204,-113.4180526,-2.226419951,-122.8919616,90.2064571
1025.78,315.1879001,108.0836152,114.2085389,-117.4633891,-138.41432,-131.6213805,80.36932503
1025.828,310.0468477,-115.3690317,102.3216872,-123.0998099,90.53883226,-118.5214913,80.24612483
1025.875,292.5979072,5.833031359,103.6430804,-110.16511,-23.0590749,-123.5843389,92.13933757
1025.921,317.2773944,131.0687781,113.4759941,-118.733476,-161.3364693,-127.7997585,79.65926502
1025.969,303.2288059,-95.56338023,100.4141339,-120.0057746,74.43472476,-115.2454248,83.15629753
1026.015,291.7667901,21.720053,105.2113149,-107.9632612,-38.33206538,-123.2571966,93.28929589
1026.062,317.0385239,147.1875431,112.2801062,-118.9266427,-176.3705893,-124.0909191,80.14532563
1026.109,298.1241132,-82.78024149,99.29357167,-117.2815118,64.50529759,-112.3737252,85.73281064
1026.156,290.8082787,31.50777339,106.052479,-106.2553356,-47.30298113,-121.8605191,94.48605821
1026.202,315.5905817,156.2205355,111.3092749,-118.1856665,176.1064371,-120.967191,81.36051735
1026.249,294.6659709,-76.55889683,98.60485117,-115.1494129,60.44046628,-109.7056223,87.7474625
1026.295,289.052076,35.23380493,106.0516193,-104.606158,-49.6116097,-119.5239403,96.10007625
1026.341,313.6434141,158.1730796,110.8922822,-116.6922066,175.7449762,-118.5492703,82.99985028
1026.388,292.6861745,-76.65535104,98.20270188,-113.6820738,62.05880169,-107.1293066,89.05692734
1026.434,286.2129147,32.90025241,105.2018544,-102.8631358,-45.15411303,-116.2486357,98.12732994
1026.481,311.2442437,152.961261,111.1072925,-114.433864,-177.3983567,-116.8438309,85.02840291
1026.528,292.2302621,-83.14121409,98.17155909,-112.8779087,69.37138114,-104.7500588,89.58104849
1026.575,282.414197,24.50632619,103.5084922,-101.1705035,-34.04281587,-111.9291708,100.2073822
1026.621,307.7480993,140.4070544,111.7612716,-111.1489013,-162.7909151,-115.798268,87.7153609
1026.667,293.574413,-96.38384768,98.8199266,-112.5968116,82.63467191,-102.9692578,89.37366476
1026.715,278.3444488,10.1173752,101.0781058,-99.94169545,-16.70977694,-106.6448043,101.6173084
1026.761,301.9878643,120.5562106,112.1818611,-106.4969888,-139.6976413,-115.0663376,91.68780602
1026.809,296.8991553,-116.9160847,100.5765227,-112.3888101,102.4032034,-102.4000387,88.9021972
1026.855,275.4532755,-10.05326077,98.33187483,-99.72761443,5.949927961,-101.077913,101.5880196
1026.901,293.1701299,94.30560701,111.1292444,-100.6911129,-108.220202,-113.3612429,97.54466645
1026.947,301.2704724,-145.2058237,103.7139715,-111.3626068,129.5093256,-103.3216674,89.2659342
1026.994,275.619215,-35.90811781,96.1582714,-100.9279293,32.89011061,-96.39467844,99.9774823
1027.041,282.3145919,63.37163877,107.5852294,-95.19865856,-70.42448125,-108.4766555,104.2738648
1027.088,303.2376527,178.4329005,107.9391246,-108.1344312,165.337866,-105.1779181,91.66588436
1027.134,280.1542031,-68.43863463,95.92201328,-103.3858911,64.1836629,-93.65403867,97.24079967
1027.18,272.3454493,28.58699557,102.0277011,-92.18121722,-29.16178641,-99.85388989,108.3515215
1027.227,297.3961759,134.1384954,111.246395,-101.1267713,-147.5579623,-106.8137215,97.40234671
1027.273,289.1008775,-109.96487,99.07563375,-105.5481171,102.3411602,-94.22059445,94.64712276
1027.32,267.6930477,-10.68162233,96.70631745,-92.98678175,13.64811245,-91.22936868,106.9660973
1027.365,282.427062,84.72861068,109.3965211,-91.81593825,-89.77894953,-104.0535439,107.015574
